username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
florentiikomar1;2016-07-15 03:19;0;0;"#indian sports teen sex videos lesbian girls sex videos free geting held down for sex just girls http:// 58.alouz.ga";;;#indian;"753708006689374208";https://twitter.com/florentiikomar1/status/753708006689374208
namitabohara;2016-07-14 20:13;1;4;"Da da ding! Nike's ad of women athletes is delight! I guess its first of its kind to honor Indian sports women https:// youtu.be/1UvPZ8fD4B8";;;;"753600719706529793";https://twitter.com/namitabohara/status/753600719706529793
arun_rajs2002;2016-07-14 14:57;1;2;"@thebobbydeoll It wil be shame on part of Indian sports minister if he cant identify some of these morons for javelin throw for Rio olympics";;@thebobbydeoll;;"753521359938990080";https://twitter.com/arun_rajs2002/status/753521359938990080
TMalaysianTimes;2016-07-14 14:52;0;0;"Some 1,300 young and grassroots level athletes to rub shoulders at the third Malaysian Indian Sports (Sukim) from... http:// fb.me/2yvo9C9s4";;;;"753520051739820033";https://twitter.com/TMalaysianTimes/status/753520051739820033
rockygajendra;2016-07-14 14:39;0;0;"@MirzaSania congrats on release of your book, needs lot of confidence and courage to write autobiography. You are Indian sports legend";;@MirzaSania;;"753516844963672066";https://twitter.com/rockygajendra/status/753516844963672066
octoberani;2016-07-14 13:18;0;1;"@mpparimal Good news for Indian sports .";;@mpparimal;;"753496265229496320";https://twitter.com/octoberani/status/753496265229496320
Khel_Gyani;2016-07-14 12:45;0;0;"@InAndOutKabaddi @suhailchandhok thats why it was engrossing for us to listen to. We hope to bring data led thinking to indian sports !";;@InAndOutKabaddi @suhailchandhok;;"753488196642541568";https://twitter.com/Khel_Gyani/status/753488196642541568
malayalam_live;2016-07-14 12:26;0;0;"http:// ift.tt/29Q2CNO ◄ Sports Minister Vijay Goel Visits Ailing Hockey Legend Mohammad Shahid► Indian Sports Minister Vijay Goel on We…";;;;"753483373692252160";https://twitter.com/malayalam_live/status/753483373692252160
harender_nain;2016-07-14 12:17;0;0;"@BeingSalmanKhan my handbal team have no fund for going to participate this championship & Indian sports minister have no supporting my game";;@BeingSalmanKhan;;"753481052111372288";https://twitter.com/harender_nain/status/753481052111372288
Notacrickethack;2016-07-14 11:18;0;0;"LOL WC 2011 win is going to be ESPN India's No 1 moment in Indian Sports history.";;;;"753466156850098177";https://twitter.com/Notacrickethack/status/753466156850098177
math_francis;2016-07-14 10:41;0;1;"@TimesNow Finding new new ways to making money with the popularity of the talents Indian sports and athelectics.";;@TimesNow;;"753456762246860801";https://twitter.com/math_francis/status/753456762246860801
mpparimal;2016-07-14 09:33;320;659;"#Olympics : Medals or no medals! It's gratifying that all Rio-bound Indian sports persons are dope-free. pic.twitter.com/nfKDuu2EZ6";;;#Olympics;"753439709599326208";https://twitter.com/mpparimal/status/753439709599326208
thumpertuber;2016-07-14 07:56;0;0;"Visual and Sonic bliss! @Nike on Indian Girl Power! Amazing! #JustDoIt https:// youtu.be/1UvPZ8fD4B8 #girlpower #Indian #Sports";;@Nike;#JustDoIt #girlpower #Indian #Sports;"753415459626704897";https://twitter.com/thumpertuber/status/753415459626704897